taxon	taxonomyId	assemblyCount	accession	CustomTags
Plasmodium falciparum	5833	1	GCF_000002765.6	VEuPathDB
Plasmodium vivax	5855	1	GCF_000002415.2	VEuPathDB
Plasmodium yoelii	5861	1	GCF_900002385.2	VEuPathDB
Plasmodium vinckei	5860	1	GCF_900681995.1	VEuPathDB
Culex pipiens pallens	42434	1	GCF_016801865.2	
Culex quinquefasciatus	7176	1	GCF_015732765.1	VEuPathDB
Anopheles gambiae	7165	1	GCF_943734735.2	VEuPathDB
Toxoplasma gondii	5811	1	GCF_000006565.2	VEuPathDB
Mycobacterium tuberculosis	1773	1	GCF_000195955.2	Bact
Coccidioides posadasii	199306	1	GCF_018416015.2	VEuPathDB
Coccidioides immitis	5501	1	GCF_000149335.2	
Trypanosoma cruzi	5693	1	GCF_000209065.1	VEuPathDB
Trypanosoma brucei	5691	1	GCF_000002445.2	VEuPathDB
Leishmania major	5664	1	GCF_000002725.2	VEuPathDB
Leishmania donovani	5661	1	GCF_000227135.1	VEuPathDB
Leishmania braziliensis	5660	1	GCF_000002845.2	VEuPathDB
Severe acute respiratory syndrome coronavirus 2	2697049	1	GCF_009858895.2	Virus
Monkeypox virus	10244	1	GCF_000857045.1	Virus
Aspergillus fumigatus	746128	1	GCF_000002655.1	
Candida albicans	5476	1	GCF_000182965.3	
Cryptococcus neoformans	5207	1	GCF_000091045.1	
