strain	taxonomyId	accession	isRef	level	chromosomeCount	length	scaffoldCount	scaffoldN50	scaffoldL50	coverage	gcPercent	annotationStatus	pairedAccession	species	speciesTaxonomyId	lineageTaxonomyIds	taxonomicGroup	taxonomicLevelDomain	taxonomicLevelRealm	taxonomicLevelKingdom	taxonomicLevelPhylum	taxonomicLevelClass	taxonomicLevelOrder	taxonomicLevelFamily	taxonomicLevelGenus	taxonomicLevelSpecies	taxonomicLevelStrain	ucscBrowser	genBank	refSeq	geneModelUrl
LV88	5705	GCA_000333855.2	True	Chromosome	36.0	32520418	1959.0	885495.0	11.0	50.0x	53.0			Endotrypanum monterogeii	5705	1,131567,2759,2611352,33682,5653,2704647,2704949,5654,1286322,5703,5705	Kinetoplastea	Eukaryota			Euglenozoa	Kinetoplastea	Trypanosomatida	Trypanosomatidae	Endotrypanum	Endotrypanum monterogeii		https://genome.ucsc.edu/h/GCA_000333855.2	GCA_000333855.2		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/333/855/GCA_000333855.2/genes/GCA_000333855.2_Endotrypanum_monterogeii-LV88-1.0.3.augustus.gtf.gz
Cf-Cl	5656	GCA_000331325.2	True	Chromosome	31.0	41297378	458.0	920654.0	13.0	130.0x	57.0			Crithidia fasciculata	5656	1,131567,2759,2611352,33682,5653,2704647,2704949,5654,1286322,5655,5656	Kinetoplastea	Eukaryota			Euglenozoa	Kinetoplastea	Trypanosomatida	Trypanosomatidae	Crithidia	Crithidia fasciculata		https://genome.ucsc.edu/h/GCA_000331325.2	GCA_000331325.2		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/331/325/GCA_000331325.2/genes/GCA_000331325.2_Crithidia_fasciculata-14.0.augustus.gtf.gz
LEM1108	40284	GCA_000410695.2	True	Chromosome	36.0	31269090	168.0	1057807.0	11.0	94.0x	59.5			Leishmania arabica	40284	1,131567,2759,2611352,33682,5653,2704647,2704949,5654,1286322,5658,40284	Kinetoplastea	Eukaryota			Euglenozoa	Kinetoplastea	Trypanosomatida	Trypanosomatidae	Leishmania	Leishmania arabica		https://genome.ucsc.edu/h/GCA_000410695.2	GCA_000410695.2		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/410/695/GCA_000410695.2/genes/GCA_000410695.2_Leishmania_arabica_LEM1108-1.0.3.augustus.gtf.gz
ATCC 64411	644358	GCA_000193285.1	True	Scaffold		39503331	205.0	3426601.0	5.0	25.0x	57.0			Magnaporthiopsis poae	148304	1,131567,2759,33154,4751,451864,4890,716545,147538,716546,715989,147550,222544,639021,81093,1491576,148304,644358	Ascomycota	Eukaryota		Fungi	Ascomycota	Sordariomycetes	Magnaporthales	Magnaporthaceae	Magnaporthiopsis	Magnaporthiopsis poae	Magnaporthiopsis poae ATCC 64411	https://genome.ucsc.edu/h/GCA_000193285.1	GCA_000193285.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/193/285/GCA_000193285.1/genes/GCA_000193285.1_Mag_poae_ATCC_64411_V1.augustus.gtf.gz
	74873	GCA_000441895.2	True	Scaffold		220777669	9592.0	814231.0	66.0	30.0x	44.0			Anopheles sinensis	74873	1,131567,2759,33154,33208,6072,33213,33317,1206794,88770,6656,197563,197562,6960,50557,85512,7496,33340,33392,7147,7148,43786,41827,7157,43816,7164,44482,58247,58250,59131,74873	Arthropoda	Eukaryota		Metazoa	Arthropoda	Insecta	Diptera	Culicidae	Anopheles	Anopheles sinensis		https://genome.ucsc.edu/h/GCA_000441895.2	GCA_000441895.2		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/441/895/GCA_000441895.2/genes/GCA_000441895.2_AS2.augustus.gtf.gz
	13249	GCA_000181055.3	True	Scaffold		706824083	16537.0	1088772.0	170.0	8.3x	34.0			Rhodnius prolixus	13249	1,131567,2759,33154,33208,6072,33213,33317,1206794,88770,6656,197563,197562,6960,50557,85512,7496,33340,33342,7524,33343,33345,33347,33349,33351,33354,33356,27479,70999,13248,13249	Arthropoda	Eukaryota		Metazoa	Arthropoda	Insecta	Hemiptera	Reduviidae	Rhodnius	Rhodnius prolixus		https://genome.ucsc.edu/h/GCA_000181055.3	GCA_000181055.3		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/181/055/GCA_000181055.3/genes/GCA_000181055.3_Rhodnius_prolixus-3.0.3.augustus.gtf.gz
WRAIR2	7168	GCA_000349145.1	True	Scaffold		216307690	1266.0	6906475.0	9.0	184.0x	46.0			Anopheles dirus	7168	1,131567,2759,33154,33208,6072,33213,33317,1206794,88770,6656,197563,197562,6960,50557,85512,7496,33340,33392,7147,7148,43786,41827,7157,43816,7164,44534,44536,44538,44539,409350,7168	Arthropoda	Eukaryota		Metazoa	Arthropoda	Insecta	Diptera	Culicidae	Anopheles	Anopheles dirus		https://genome.ucsc.edu/h/GCA_000349145.1	GCA_000349145.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/349/145/GCA_000349145.1/genes/GCA_000349145.1_Anop_diru_WRAIR2_V1.augustus.gtf.gz
QUAD4_A	34691	GCA_000349065.1	True	Scaffold		283828998	2823.0	1641272.0	54.0	93.0x	45.0			Anopheles quadriannulatus	34691	1,131567,2759,33154,33208,6072,33213,33317,1206794,88770,6656,197563,197562,6960,50557,85512,7496,33340,33392,7147,7148,43786,41827,7157,43816,7164,44534,44537,44542,34691	Arthropoda	Eukaryota		Metazoa	Arthropoda	Insecta	Diptera	Culicidae	Anopheles	Anopheles quadriannulatus		https://genome.ucsc.edu/h/GCA_000349065.1	GCA_000349065.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/349/065/GCA_000349065.1/genes/GCA_000349065.1_Anop_quad_QUAD4_A_V1.augustus.gtf.gz
DAOM BR144	431595	GCA_000143045.1	True	Scaffold		44913463	975.0	837833.0	19.0	7.9x	52.5			Globisporangium ultimum	2052682	1,131567,2759,2698737,33634,4762,121069,4782,1448052,2052682,431595	Oomycota	Eukaryota			Oomycota		Pythiales	Pythiaceae	Globisporangium	Globisporangium ultimum	Globisporangium ultimum DAOM BR144	https://genome.ucsc.edu/h/GCA_000143045.1	GCA_000143045.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/143/045/GCA_000143045.1/genes/GCA_000143045.1_pug.augustus.gtf.gz
CQ1	578461	GCA_000383075.1	True	Scaffold		15689776	1607.0	57394.0	47.0		31.0			Nosema bombycis	27978	1,131567,2759,33154,4751,112252,6029,6032,27974,27977,27978,578461	Microsporidia	Eukaryota		Fungi	Microsporidia			Nosematidae	Nosema	Nosema bombycis	Nosema bombycis CQ1	https://genome.ucsc.edu/h/GCA_000383075.1	GCA_000383075.1		https://hgdownload.soe.ucsc.edu/hubs/GCA/000/383/075/GCA_000383075.1/genes/GCA_000383075.1_NosBomCQ1_v1.0.augustus.gtf.gz
